"","state","county","year_court_estab","felonies","misdemeanors","court","year","population","per_capita_income","percent_employed","prop_17","prop_64","prop_65","graduate_hs","graduate_college","death_rate","percent_male","percent_white","percent_black","average_age","avg_never_married","avg_married","avg_divorced","percent_below_pov","unemployment_rate","homelessness_count","county_fips","years_since","percent_homeless","county_state_code","Group","match"
"79","KY","Fayette",2014,1,1,0,2007,287263,14962,0.6141876,0.22370721,0.67728937,0.099003397,0.81037813,0.32839355,76,0.47815996,0.84506094,0.13375132,34.873192,0.31469151,0.49783722,0.10505048,0.10224535,4,1158,67,-7,40.311493,"6700149620",TRUE,1
"80","NE","Fillmore",0,0,0,0,2007,6033,11961,0.22708714,0.26481768,0.51780939,0.21737294,0.80635285,0.19651741,154,0.48500633,0.9914121,0.0019709982,41.165703,0.1876348,0.64701653,0.045650613,0.062626265,2.5,695,59,0,1151.9973,"5900119610",FALSE,1
"81","FL","Flagler",0,0,0,0,2007,88088,15124,0.29134873,0.19089927,0.5531863,0.25591442,0.77899051,0.21958585,120,0.47928643,0.90000349,0.082436152,45.280407,0.14892823,0.68775654,0.069944859,0.066195652,5.4,1478,35,0,167.78676,"3500151240",FALSE,1
"82","LA","Franklin",0,0,0,0,2007,20028,7607,0.20114352,0.30732122,0.53950953,0.15316924,0.54707098,0.1096599,134,0.47272971,0.68244964,0.3144682,36.377274,0.24555011,0.54479754,0.06229841,0.2884289,6.5,313,41,0,156.2812,"410076070",FALSE,1
"83","VA","Franklin",0,0,0,0,2007,51347,11936,0.2406382,0.22797036,0.64135629,0.13067335,0.62302548,0.1327915,95,0.49391893,0.88856864,0.10698121,37.71357,0.2258386,0.61372912,0.065562025,0.084454149,3.6,699,620,0,136.13258,"62000119360",FALSE,1
"84","WY","Fremont",0,0,0,0,2007,37368,9806,0.28388092,0.3135286,0.57141584,0.11505555,0.77010101,0.20965715,88,0.49696988,0.79513991,0.0015150615,35.012924,0.21001296,0.60761696,0.099562898,0.15638815,3.5,537,13,0,143.70584,"130098060",FALSE,1
"85","OK","Garfield",0,0,0,0,2007,57434,11564,0.36021855,0.26223671,0.58360803,0.15415528,0.7623868,0.2084076,115,0.48021504,0.92364502,0.035604123,37.734943,0.18835026,0.61472881,0.093687646,0.11145316,2.8,212,47,0,36.911934,"4700115640",FALSE,1
"86","MI","Genesee",2007,1,1,0,2007,434086,13583,0.35640097,0.28031242,0.61786836,0.10181922,0.7639631,0.18584006,87,0.4785659,0.78207451,0.19573757,34.806267,0.27683264,0.52173835,0.10823092,0.14023034,8.4,354,49,0,8.1550665,"4900135830",TRUE,1
"87","CA","Glenn",0,0,0,0,2007,27862,10677,0.16255343,0.3048633,0.55472213,0.14041455,0.66233844,0.14364384,91,0.49903217,0.85393983,0.005524639,35.7005,0.20958182,0.59704173,0.093099132,0.14104716,8.7,155,21,0,55.631325,"2100106770",FALSE,1
"88","MO","Greene",2001,1,1,1,2007,263800,12468,0.58450872,0.22909464,0.63750726,0.13339809,0.80276138,0.21969451,94,0.47888184,0.96616,0.018028459,36.559288,0.25850892,0.552131,0.10058284,0.092016265,4,518,77,6,19.636087,"7700124680",TRUE,1
